City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,severoural'sk,60.1533,59.952,14.23,86,99,0.73,RU,1688968879
272,fale old settlement,-9.3852,-171.2468,28.69,79,100,7.95,TK,1688968880
273,crane,31.3974,-102.3501,31.42,40,18,8.51,US,1688968880
274,daru,-9.0763,143.2092,26.28,79,100,7.09,PG,1688968880
275,mityana,0.4175,32.0228,21.31,66,96,0.32,UG,1688968881
276,mitu,1.1983,-70.1733,21.29,99,10,1.08,CO,1688968807
277,sarykemer,43.0,71.5,31.71,16,1,7.94,KZ,1688968881
278,kaa-khem,51.6833,94.7333,27.59,32,99,2.46,RU,1688968881
279,baruun-urt,46.6806,113.2792,23.56,54,98,4.38,MN,1688968249
280,sanming,26.2486,117.6186,38.08,38,44,1.51,CN,1688968882
281,posto fiscal rolim de moura,-13.0833,-62.2667,22.97,60,1,0.98,BR,1688968883
282,sianow,54.2265,16.2913,17.2,60,100,3.75,PL,1688968883
283,flying fish cove,-10.4217,105.6791,25.82,94,100,6.17,CX,1688968883
284,las khorey,11.1595,48.1967,34.47,45,22,3.56,SO,1688968884
285,alice springs,-23.7,133.8833,18.75,39,19,6.62,AU,1688968809
286,nuku'alofa,-21.1333,-175.2,22.19,88,40,3.09,TO,1688968614
287,mishkino,55.3389,63.9175,30.41,44,81,2.09,RU,1688968884
288,belyy yar,53.6039,91.3903,20.94,73,40,5.0,RU,1688968885
289,flin flon,54.7682,-101.865,7.99,63,16,4.19,CA,1688968885
290,la sarre,48.8002,-79.1996,12.43,93,18,2.62,CA,1688968885
291,karachi,24.9056,67.0822,32.9,52,75,6.17,PK,1688968342
292,mistrato,5.2973,-75.8832,15.83,97,37,0.28,CO,1688968886
293,douentza,14.9951,-2.9517,26.62,59,99,7.22,ML,1688968886
294,hovd,48.0056,91.6419,24.35,32,93,5.7,MN,1688968887
295,berezovyy,51.6667,135.7,25.64,41,48,2.61,RU,1688968887
296,betio village,1.358,172.9211,28.02,77,97,3.07,KI,1688968888
297,la'ie,21.6477,-157.9253,25.25,73,84,2.68,US,1688968888
298,veinticinco de mayo,-35.4323,-60.1727,8.02,90,7,2.62,AR,1688968888
299,seminole,28.7086,-81.2081,28.56,86,0,2.57,US,1688968888
300,sosnovo-ozerskoye,52.5249,111.5418,17.24,86,100,2.47,RU,1688968889
301,lazaro cardenas,17.9583,-102.2,27.05,85,87,1.71,MX,1688968889
302,kabare,-2.4683,28.8242,20.02,68,54,0.58,CD,1688968890
303,lima,-12.0432,-77.0282,18.83,84,31,2.43,PE,1688968890
304,birao,10.2849,22.7882,24.55,81,20,1.62,CF,1688968890
305,maymana,35.9214,64.7836,32.22,13,0,3.13,AF,1688968890
306,nguigmi,14.2495,13.1092,29.85,50,71,4.94,NE,1688968891
